errorrate,n,tests
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
3.13078983621e-05,3,1000
4.66813624737e-05,3,1000
3.68050577536e-05,3,1000
4.39631379551e-05,3,1000
1.26181055539e-06,3,1000
2.92479491281e-05,3,1000
5.30834400512e-05,3,1000
3.99478449793e-05,3,1000
3.80590627517e-05,3,1000
2.18453229511e-05,3,1000
0.000149291065937,4,1000
0.000142238704713,4,1000
0.000116438597034,4,1000
0.000103631693509,4,1000
0.000108995017664,4,1000
8.450579653e-05,4,1000
0.00017840423096,4,1000
0.000194446916674,4,1000
8.31214014371e-05,4,1000
9.56128691648e-05,4,1000
0.00031934701304,5,1000
0.000187180708337,5,1000
0.000252280501136,5,1000
0.000250887876849,5,1000
0.000270785463387,5,1000
0.000380160131291,5,1000
0.000235569713786,5,1000
0.000199703433416,5,1000
0.000217999764198,5,1000
0.00026490938855,5,1000
0.000540754490454,6,1000
0.000417687017695,6,1000
0.000460748733375,6,1000
0.000448239043419,6,1000
0.000419543058457,6,1000
0.000340002749477,6,1000
0.000603510994923,6,1000
0.000384416448506,6,1000
0.000422472611534,6,1000
0.000441857048754,6,1000
0.000759253004712,7,1000
0.000758276749242,7,1000
0.000651421926195,7,1000
0.000751575344453,7,1000
0.000740168878435,7,1000
0.000616437595713,7,1000
0.000676689429496,7,1000
0.000748562091165,7,1000
0.000634695971575,7,1000
0.000704009836133,7,1000
0.00103923788783,8,1000
0.00106322712238,8,1000
0.00112735992511,8,1000
0.00105938645332,8,1000
0.000974819302069,8,1000
0.00088593601098,8,1000
0.00101173932082,8,1000
0.00110780858227,8,1000
0.00117011551805,8,1000
0.000983429726753,8,1000
0.00137542795339,9,1000
0.00146177943209,9,1000
0.0013610746995,9,1000
0.00145705249087,9,1000
0.00178316271454,10,1000
0.00126774659407,9,1000
0.00135621362847,9,1000
0.00147357596866,9,1000
0.00145542287284,9,1000
0.00184727527165,10,1000
0.00126408182592,9,1000
0.00140347796506,9,1000
0.00171685570247,10,1000
0.00165749479348,10,1000
0.00202450099017,10,1000
0.00173569754888,10,1000
0.00149471116057,10,1000
0.00143524107295,10,1000
0.00183683339309,10,1000
0.00167905186047,10,1000
0.00195897583171,11,1000
0.000586001823592,13,1
